"Line Number","Keyword","Frequency"
"3786","social sciences",82
"3985","sustainability",55
"280","Arboretum",52
"332","arts division",47
"496","blumenthal",44
"1604","galloway",43
"1349","environmental studies",34
"743","chancellor",33
"324","arts",30
"577","budget",30
"1988","humanities",27
"1066","David Haussler",24
"185","alumni",22
"689","casfs",22
"690","CASFS",22
"1764","grateful dead archive",22
"3311","psychology",21
"3561","Sandra Faber",21
"2481","literature",20
"303","art",18
"397","Baskin School of Engineering",18
"2455","Lick Observatory",18
"903","computer game design",17
"153","agroecology",16
"4083","The Farm",16
"719","Center for Games and Playable Media",15
"1402","exoplanets",15
"1442","farm",15
"1412","extrasolar planets",14
"1445","farm and garden",14
"1478","film",14
"259","anthropology",13
"840","climate change",13
"1444","farm & garden",13
"1917","history",13
"3227","poetry",13
"895","community supported agriculture",12
"1162","diversity",12
"3617","SCIPP",12
"3679","Seymour Center",12
"648","cancer genomics",11
"1134","digital arts and new media",11
"1307","Emily Brodsky",11
"1480","film and digital media",11
"1721","global warming",11
"3416","research",11
"3601","Science Communication Program",11
"4100","theater arts",11
"269","appointment",10
"1040","DANM",10
"1243","economics",10
"1335","Enrico Ramirez-Ruiz",10
"1343","environmental",10
"1584","fundraising",10
"1629","Gary Griggs",10
"2802","music department",10
"1029","Daniel Costa",9
"1423","faculty",9
"1486","film department",9
"1992","humanities division",9
"2451","library",9
"3023","organic farming",9
"3111","Paul Koch",9
"3797","sociology",9
"4068","Terrie Williams",9
"4211","UCOP",9
"905","computer games",8
"1157","distant galaxies",8
"1249","Ed Green",8
"1255","education",8
"1661","genomics",8
"1663","Genomics Institute",8
"1749","Graduate Research Symposium",8
"2262","Jonathan Fortney",8
"2799","music",8
"2966","Observatories",8
"3001","open enrollment",8
"3401","regents",8
"3595","scholarships",8
"3899","Steve Vogt",8
"3904","Steven Vogt",8
"3937","students",8
"3990","sustainable agriculture",8
"4099","theater",8
"4118","Thorne Lay",8
"129","Adina Paytan",7
"308","art department",7
"309","art exhibitions",7
"544","Brent Haddad",7
"879","commencement",7
"1004","cuts",7
"1133","digital arts",7
"1174","documentary films",7
"1371","ethics",7
"1463","feminist studies",7
"1592","Gabriel Elkaim",7
"1606","game design",7
"1824","habitable planet",7
"1918","history department",7
"2153","Jacob Rosen",7
"2222","JFAST",7
"2271","Josh Stuart",7
"2900","news",7
"3243","politics",7
"3326","Puragra Guhathakurta",7
"3638","sea otters",7
"3748","Slawek Tulaczyk",7
"3846","staff",7
"4149","Tohoku earthquake",7
"4284","vice chancellor",7
"4345","welcome",7
"131","administrative message",6
